"Czas","Data","Godzina","Al. USA - suma","Al. USA - południe","Al. USA - północ","Banacha","Bazyliańska","Belwederska","Dworzec Wilenski (al. Solidarności)","Dworzec Wileński (Targowa)","Marszałkowska","Most Gdański - suma","Most Gdański - ciąg pieszo-rowerowy","Most Gdanski - ścieżka rowerowa","NSR - Solec - suma","NSR - Solec - ciąg pieszo-rowerowy","NSR-Solec - ścieżka rowerowa","Praska ścieżka rekreacyjna","Świętokrzyska - Emilii Plater - suma","Świętokrzyska - Emilii Plater, płd","Świętokrzyska - Emilii Plater, płn","Wybrzeże Helskie","Wysockiego","Żwirki i Wigury/Trojdena - suma","Żwirki i Wigury/Trojdena zach.","Żwirki i Wigury/Trojdena wsch.","Jaki_dzien"
2017-05-15 14:00:00,2017-05-15,14,44,29,15,140,15,71,64,72,65,38,13,25,52,7,45,14,232,137,95,79,29,113,37,76,"roboczy"
2017-05-15 15:00:00,2017-05-15,15,86,55,31,211,30,89,92,94,97,105,26,79,108,11,97,24,336,180,156,137,73,179,47,132,"roboczy"
2017-05-15 16:00:00,2017-05-15,16,117,79,38,358,23,195,138,111,165,233,85,148,159,17,142,35,491,269,222,231,63,282,49,233,"roboczy"
2017-05-15 17:00:00,2017-05-15,17,129,81,48,392,15,217,162,119,124,234,98,136,171,15,156,38,542,278,264,193,65,319,67,252,"roboczy"
2017-05-15 18:00:00,2017-05-15,18,194,117,77,308,20,172,125,100,92,203,43,160,186,7,179,76,432,224,208,219,70,234,45,189,"roboczy"
2017-05-15 19:00:00,2017-05-15,19,156,100,56,232,26,130,127,126,104,208,18,190,189,7,182,81,353,206,147,202,94,227,39,188,"roboczy"
2017-05-15 20:00:00,2017-05-15,20,151,105,46,221,24,110,104,101,81,123,6,117,149,3,146,67,305,182,123,161,70,207,48,159,"roboczy"
2017-05-15 21:00:00,2017-05-15,21,67,41,26,110,12,64,67,53,53,90,5,85,104,2,102,10,207,141,66,78,29,113,27,86,"roboczy"
2017-05-15 22:00:00,2017-05-15,22,29,25,4,47,8,35,41,24,48,32,2,30,48,1,47,3,138,85,53,56,12,56,11,45,"roboczy"
2017-05-15 23:00:00,2017-05-15,23,17,14,3,19,1,27,17,22,21,11,1,10,30,2,28,0,84,56,28,22,1,18,9,9,"roboczy"
2017-05-16 00:00:00,2017-05-16,0,13,8,5,11,1,4,4,9,10,4,1,3,7,0,7,3,41,25,16,6,0,14,4,10,"roboczy"
2017-05-16 01:00:00,2017-05-16,1,0,0,0,9,0,8,2,5,9,2,1,1,5,0,5,0,23,14,9,9,1,3,3,0,"roboczy"
2017-05-16 02:00:00,2017-05-16,2,2,1,1,3,0,2,1,3,3,3,0,3,0,0,0,0,19,13,6,3,0,3,1,2,"roboczy"
2017-05-16 03:00:00,2017-05-16,3,2,1,1,3,1,0,3,1,1,1,0,1,3,0,3,0,8,5,3,2,2,1,1,0,"roboczy"
2017-05-16 04:00:00,2017-05-16,4,2,0,2,6,2,0,3,3,0,2,0,2,5,0,5,0,4,3,1,5,6,1,0,1,"roboczy"
2017-05-16 05:00:00,2017-05-16,5,8,5,3,22,6,6,18,10,5,15,2,13,18,0,18,0,28,10,18,30,16,15,2,13,"roboczy"
2017-05-16 06:00:00,2017-05-16,6,44,34,10,122,13,25,85,28,32,54,11,43,56,5,51,2,128,66,62,99,36,80,19,61,"roboczy"
2017-05-16 07:00:00,2017-05-16,7,111,68,43,388,24,86,152,98,95,124,23,101,126,12,114,7,411,211,200,207,52,276,63,213,"roboczy"
2017-05-16 08:00:00,2017-05-16,8,105,61,44,538,21,185,155,108,137,107,21,86,116,11,105,10,568,272,296,203,38,347,87,260,"roboczy"
2017-05-16 09:00:00,2017-05-16,9,50,30,20,279,4,102,67,60,100,77,14,63,82,9,73,13,375,188,187,128,19,176,38,138,"roboczy"
2017-05-16 10:00:00,2017-05-16,10,44,25,19,182,4,51,56,51,64,51,17,34,58,5,53,16,245,125,120,67,16,124,34,90,"roboczy"
2017-05-16 11:00:00,2017-05-16,11,48,28,20,147,12,42,65,57,43,101,22,79,50,7,43,21,218,121,97,70,31,117,37,80,"roboczy"
