"","data","wartosc","status"
"261","2015-04-14 00:00:00",6.5,0
"262","2015-04-15 00:00:00",11.2,0
"263","2015-04-16 00:00:00",11.9,0
"264","2015-04-17 00:00:00",7.4,0
"265","2015-04-18 00:00:00",4.6,0
"266","2015-04-19 00:00:00",5,0
"267","2015-04-20 00:00:00",8.6,0
"268","2015-04-21 00:00:00",8.5,0
"269","2015-04-22 00:00:00",10.3,0
"270","2015-04-23 00:00:00",11.8,0
"271","2015-04-24 00:00:00",14.3,0
"272","2015-04-25 00:00:00",15.3,0
"273","2015-04-26 00:00:00",14.2,0
"274","2015-04-27 00:00:00",16,0
"275","2015-04-28 00:00:00",15.8,0
"276","2015-04-29 00:00:00",8.1,0
"277","2015-04-30 00:00:00",9.8,0
"278","2015-05-01 00:00:00",10.5,0
"279","2015-05-02 00:00:00",9.3,0
"280","2015-05-03 00:00:00",11.5,0
"281","2015-05-04 00:00:00",12.7,0
"282","2015-05-05 00:00:00",17,0
"283","2015-05-06 00:00:00",15.9,0
"284","2015-05-07 00:00:00",14.4,0
"285","2015-05-08 00:00:00",12.7,0
"286","2015-05-09 00:00:00",15,0
"287","2015-05-10 00:00:00",13,0
"288","2015-05-11 00:00:00",11,0
"289","2015-05-12 00:00:00",14.6,0
"290","2015-05-13 00:00:00",14,0
"291","2015-05-14 00:00:00",11.9,0
"292","2015-05-15 00:00:00",11.1,0
"293","2015-05-16 00:00:00",12,0
"294","2015-05-17 00:00:00",11.9,0
"295","2015-05-18 00:00:00",12.7,0
"296","2015-05-19 00:00:00",16.6,0
"297","2015-05-20 00:00:00",16.9,0
"298","2015-05-21 00:00:00",12.5,0
"299","2015-05-22 00:00:00",13.6,0
"300","2015-05-23 00:00:00",12.4,0
"301","2015-05-24 00:00:00",14.6,0
"302","2015-05-25 00:00:00",15.2,0
"303","2015-05-26 00:00:00",14.1,0
"304","2015-05-27 00:00:00",10.8,0
"305","2015-05-28 00:00:00",11.5,0
"306","2015-05-29 00:00:00",14.2,0
"307","2015-05-30 00:00:00",17.2,0
"308","2015-05-31 00:00:00",14.9,0
"309","2015-06-01 00:00:00",19.3,0
"310","2015-06-02 00:00:00",21.7,0
"311","2015-06-03 00:00:00",23.3,0
"312","2015-06-04 00:00:00",17.1,0
"313","2015-06-05 00:00:00",17.5,0
"314","2015-06-06 00:00:00",20.8,0
"315","2015-06-07 00:00:00",20.5,0
"316","2015-06-08 00:00:00",17.3,0
"317","2015-06-09 00:00:00",15,0
"318","2015-06-10 00:00:00",16.7,0
"319","2015-06-11 00:00:00",18.2,0
"320","2015-06-12 00:00:00",20.2,0
"321","2015-06-13 00:00:00",22.7,0
"322","2015-06-14 00:00:00",21.8,0
"323","2015-06-15 00:00:00",17.9,0
"324","2015-06-16 00:00:00",13.6,0
"325","2015-06-17 00:00:00",15.6,0
"326","2015-06-18 00:00:00",15.1,0
"327","2015-06-19 00:00:00",14.8,0
"328","2015-06-20 00:00:00",13.6,0
"329","2015-06-21 00:00:00",15.2,0
"330","2015-06-22 00:00:00",16.1,0
"331","2015-06-23 00:00:00",14.1,0
"332","2015-06-24 00:00:00",15.2,0
"333","2015-06-25 00:00:00",16.2,0
"334","2015-06-26 00:00:00",17.7,0
"335","2015-06-27 00:00:00",17.4,0
"336","2015-06-28 00:00:00",19.7,0
"337","2015-06-29 00:00:00",17.6,0
"338","2015-06-30 00:00:00",19.3,0
"339","2015-07-01 00:00:00",20.6,0
"340","2015-07-02 00:00:00",21.5,0
"341","2015-07-03 00:00:00",23.3,0
"342","2015-07-04 00:00:00",23.9,0
"343","2015-07-05 00:00:00",26.7,0
"344","2015-07-06 00:00:00",24.6,0
"345","2015-07-07 00:00:00",23.1,0
"346","2015-07-08 00:00:00",20.6,0
"347","2015-07-09 00:00:00",17,0
"348","2015-07-10 00:00:00",13.3,0
"349","2015-07-11 00:00:00",15.7,0
"350","2015-07-12 00:00:00",18,0
"351","2015-07-13 00:00:00",17.7,0
"352","2015-07-14 00:00:00",18.1,0
"353","2015-07-15 00:00:00",18.5,0
"354","2015-07-16 00:00:00",19.5,0
"355","2015-07-17 00:00:00",21.7,0
"356","2015-07-18 00:00:00",24.2,0
"357","2015-07-19 00:00:00",22.1,0
"358","2015-07-20 00:00:00",19.7,0
"359","2015-07-21 00:00:00",19.1,0
"360","2015-07-22 00:00:00",23.4,0
"361","2015-07-23 00:00:00",23.5,0
"362","2015-07-24 00:00:00",22.5,0
"363","2015-07-25 00:00:00",23.7,0
"364","2015-07-26 00:00:00",17.7,0
"365","2015-07-27 00:00:00",16.8,0
"366","2015-07-28 00:00:00",18,0
"367","2015-07-29 00:00:00",17.8,0
"368","2015-07-30 00:00:00",16.4,0
"369","2015-07-31 00:00:00",15.6,0
"370","2015-08-01 00:00:00",16.2,0
"371","2015-08-02 00:00:00",21.2,0
"372","2015-08-03 00:00:00",24.9,0
"373","2015-08-04 00:00:00",27,0
"374","2015-08-05 00:00:00",26.8,0
"375","2015-08-06 00:00:00",25.8,0
"376","2015-08-07 00:00:00",28.6,0
"377","2015-08-08 00:00:00",29.3,0
"378","2015-08-09 00:00:00",27.4,0
"379","2015-08-10 00:00:00",25.2,0
"380","2015-08-11 00:00:00",26.8,0
"381","2015-08-12 00:00:00",27.9,0
"382","2015-08-13 00:00:00",25.1,0
"383","2015-08-14 00:00:00",24,0
"384","2015-08-15 00:00:00",24.9,0
"385","2015-08-16 00:00:00",23.9,0
"386","2015-08-17 00:00:00",23.3,0
"387","2015-08-18 00:00:00",20.6,0
"388","2015-08-19 00:00:00",18.2,0
"389","2015-08-20 00:00:00",18.2,0
"390","2015-08-21 00:00:00",19.1,0
"391","2015-08-22 00:00:00",19,0
"392","2015-08-23 00:00:00",21.2,0
"393","2015-08-24 00:00:00",22.4,0
"394","2015-08-25 00:00:00",18.9,0
"395","2015-08-26 00:00:00",18.3,0
"396","2015-08-27 00:00:00",21.1,0
