"","Data","startTyg","al. Solidarności/Dworzec Wileński","al. Stanów Zjednoczonych - suma","al. Stanów Zjednoczonych N","al. Stanów Zjednoczonych S","Aleje Jerozolimskie/pl. Zawiszy - suma","Aleje Jerozolimskie/pl. Zawiszy N","Aleje Jerozolimskie/pl. Zawiszy S","Banacha/Żwirki i Wigury","Bazyliańska/Wysockiego","Belwederska","Bystra/Radzymińska","Czerniakowska - suma","Czerniakowska E","Czerniakowska W","Jagiellońska","Marsa","Marszałkowska/Metro Świętokrzyska","NSR Most Gdański - suma","NSR Most Gdański CPR","NSR Most Gdański DDR","NSR Solec - suma","NSR Solec CPR","NSR Solec DDR","Okopowa/rondo Radosława","Praska ścieżka rekreacyjna","Przyczółkowa/al. Wilanowska","Radzymińska/Jórskiego","Szaserów - suma","Szaserów N","Szaserów S","Świętokrzyska/Emilii Plater - suma","Świętokrzyska/Emilii Plater N","Świętokrzyska/Emilii Plater S","Świętokrzyska/Zielna (display)","Targowa/Dworzec Wileński","Towarowa/Łucka","Wiertnicza","Wybrzeże Helskie/Starzyńskiego","Wysockiego","Żwirki i Wigury/1 Sierpnia","Żwirki i Wigury/Trojdena - suma","Żwirki i Wigury/Trojdena E","Żwirki i Wigury/Trojdena W","temp_min","temp_avg","temp_max","deszcz","snieg","Rodzaj_opadu","Jaki_dzien","Wolne"
"996",2017-05-04,2017-05-01,279,233,97,136,NA,NA,NA,767,65,271,NA,NA,NA,NA,NA,NA,365,615,358,257,303,112,191,NA,51,NA,NA,NA,NA,NA,1216,657,559,NA,364,NA,NA,401,168,NA,504,365,139,9.8,8.5,17.1,7.3,0,"d","roboczy",FALSE
"997",2017-05-05,2017-05-01,1195,1186,424,762,NA,NA,NA,2487,214,1279,NA,NA,NA,NA,NA,NA,1065,2097,634,1463,1569,136,1433,NA,581,NA,NA,NA,NA,NA,3972,2298,1674,NA,1087,NA,NA,1849,726,NA,1842,1480,362,11.1,12.5,20.8,0,0,"s","roboczy",FALSE
"998",2017-05-06,2017-05-01,1371,1403,490,913,NA,NA,NA,2723,304,1684,NA,NA,NA,NA,NA,NA,1001,3854,896,2958,2464,246,2218,NA,1326,NA,NA,NA,NA,NA,4035,2278,1757,NA,1214,NA,NA,2850,906,NA,2189,1808,381,14.2,15.9,24.3,1.9,0,"d","weekend",TRUE
"999",2017-05-07,2017-05-01,450,438,196,242,NA,NA,NA,859,78,449,NA,NA,NA,NA,NA,NA,445,1713,1061,652,819,336,483,NA,244,NA,NA,NA,NA,NA,1442,816,626,NA,443,NA,NA,709,235,NA,740,565,175,9.6,17.5,16.8,9.7,0,"d","weekend",TRUE
"1000",2017-05-08,2017-05-08,568,413,150,263,NA,NA,NA,1653,77,581,NA,NA,NA,NA,NA,NA,588,801,358,443,542,114,428,NA,21,NA,NA,NA,NA,NA,2139,1195,944,NA,510,NA,NA,746,207,NA,1130,827,303,6,12.2,10.2,0.1,0,"d","roboczy",FALSE
"1001",2017-05-09,2017-05-08,632,466,144,322,NA,NA,NA,2069,77,717,NA,NA,NA,NA,NA,NA,785,1148,605,543,699,183,516,NA,87,NA,NA,NA,NA,NA,2517,1370,1147,NA,576,NA,NA,883,210,NA,1429,1050,379,0.9,7.1,8.5,0,0,"s","roboczy",FALSE
"1002",2017-05-10,2017-05-08,629,427,164,263,NA,NA,NA,1942,90,690,NA,NA,NA,NA,NA,NA,716,963,429,534,662,146,516,NA,87,NA,NA,NA,NA,NA,2530,1358,1172,NA,603,NA,NA,935,233,NA,1328,991,337,-2.2,4.2,11.3,1.2,0,"d","roboczy",FALSE
"1003",2017-05-11,2017-05-08,689,553,201,352,NA,NA,NA,2040,107,759,NA,NA,NA,NA,NA,NA,703,1020,348,672,748,112,636,NA,147,NA,NA,NA,NA,NA,2518,1375,1143,NA,590,NA,NA,1052,295,NA,1367,1054,313,5.8,5.6,12.1,0.5,0,"d","roboczy",FALSE
"1004",2017-05-12,2017-05-08,1350,1365,466,899,NA,NA,NA,3338,219,1521,NA,NA,NA,NA,NA,NA,1320,2389,692,1697,1767,136,1631,NA,502,NA,NA,NA,NA,NA,4818,2597,2221,NA,1204,NA,NA,2116,688,NA,2409,1866,543,4.1,7.9,18.6,0,0,"s","roboczy",FALSE
"1005",2017-05-13,2017-05-08,1731,1857,649,1208,NA,NA,NA,3476,340,1986,NA,NA,NA,NA,NA,NA,1399,4518,989,3529,3443,267,3176,NA,1550,NA,NA,NA,NA,NA,5213,2956,2257,NA,1576,NA,NA,3538,1157,NA,2461,1984,477,8.6,12.1,21,0,0,"s","weekend",TRUE
